"daily_deceased",name,confirmed,cruisePassenger,cumulativeDeceased,dailyDeceasedStartDate,"days_deceased_count",deceased,"info_max_time","info_min_time","info_search_time","info_sid","ld_min_time","name_ja",newlyDeceased,recovered,updated,yesterdayDeceased,"_time","__mv_daily_deceased","__mv_name","__mv_confirmed","__mv_cruisePassenger","__mv_cumulativeDeceased","__mv_dailyDeceasedStartDate","__mv_days_deceased_count","__mv_deceased","__mv_info_max_time","__mv_info_min_time","__mv_info_search_time","__mv_info_sid","__mv_ld_min_time","__mv_name_ja","__mv_newlyDeceased","__mv_recovered","__mv_updated","__mv_yesterdayDeceased","__mv__time"
0,Aichi,4564,0,0,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1581433200.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,0,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1581519600.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,0,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1581606000.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,0,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1581692400.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,0,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1581778800.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,0,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1581865200.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,0,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1581951600.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,0,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1582038000.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,0,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1582124400.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,0,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1582210800.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,0,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1582297200.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,0,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1582383600.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,0,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1582470000.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,0,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1582556400.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,0,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1582642800.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,0,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1582729200.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,0,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1582815600.000000",,,,,,,,,,,,,,,,,,,
1,Aichi,4564,0,1,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",1,3706,"2020-09-02T00:25:59+09:00",0,"1582902000.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,1,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",1,"1582988400.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,1,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1583074800.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,1,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1583161200.000000",,,,,,,,,,,,,,,,,,,
1,Aichi,4564,0,2,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",1,3706,"2020-09-02T00:25:59+09:00",0,"1583247600.000000",,,,,,,,,,,,,,,,,,,
1,Aichi,4564,0,3,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",1,3706,"2020-09-02T00:25:59+09:00",1,"1583334000.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,3,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",1,"1583420400.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,3,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1583506800.000000",,,,,,,,,,,,,,,,,,,
2,Aichi,4564,0,5,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",2,3706,"2020-09-02T00:25:59+09:00",0,"1583593200.000000",,,,,,,,,,,,,,,,,,,
1,Aichi,4564,0,6,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",1,3706,"2020-09-02T00:25:59+09:00",2,"1583679600.000000",,,,,,,,,,,,,,,,,,,
3,Aichi,4564,0,9,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",3,3706,"2020-09-02T00:25:59+09:00",1,"1583766000.000000",,,,,,,,,,,,,,,,,,,
1,Aichi,4564,0,10,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",1,3706,"2020-09-02T00:25:59+09:00",3,"1583852400.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,10,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",1,"1583938800.000000",,,,,,,,,,,,,,,,,,,
1,Aichi,4564,0,11,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",1,3706,"2020-09-02T00:25:59+09:00",0,"1584025200.000000",,,,,,,,,,,,,,,,,,,
2,Aichi,4564,0,13,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",2,3706,"2020-09-02T00:25:59+09:00",1,"1584111600.000000",,,,,,,,,,,,,,,,,,,
1,Aichi,4564,0,14,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",1,3706,"2020-09-02T00:25:59+09:00",2,"1584198000.000000",,,,,,,,,,,,,,,,,,,
2,Aichi,4564,0,16,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",2,3706,"2020-09-02T00:25:59+09:00",1,"1584284400.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,16,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",2,"1584370800.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,16,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1584457200.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,16,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1584543600.000000",,,,,,,,,,,,,,,,,,,
1,Aichi,4564,0,17,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",1,3706,"2020-09-02T00:25:59+09:00",0,"1584630000.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,17,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",1,"1584716400.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,17,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1584802800.000000",,,,,,,,,,,,,,,,,,,
1,Aichi,4564,0,18,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",1,3706,"2020-09-02T00:25:59+09:00",0,"1584889200.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,18,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",1,"1584975600.000000",,,,,,,,,,,,,,,,,,,
0,Aichi,4564,0,18,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",0,3706,"2020-09-02T00:25:59+09:00",0,"1585062000.000000",,,,,,,,,,,,,,,,,,,
1,Aichi,4564,0,19,"2020-01-08",238,68,"1598981460.000","1598893200.000","1598981460.590","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD5c22d0c109d9e1f79_at_1598981460_2017","1578409200.000000","愛知県",1,3706,"2020-09-02T00:25:59+09:00",0,"1585148400.000000",,,,,,,,,,,,,,,,,,,
